,Interest Score,HST,SPY,XTN,sentiment,total_cases,new_cases,total_deaths,new_deaths,S&P 500 Daily Movement
2020-06-29,79,0.02048419662171974,0.014697563211208076,0.03606816741667873,neutral,2595813.0,41299.0,127072.0,386.0,pos
2020-06-30,79,-0.015510955812249039,0.012809544787298677,0.011094143928793931,neutral,2642233.0,46420.0,127627.0,555.0,pos
2020-07-01,79,0.009267875979913631,0.007004811793744015,-0.010972414384367357,neutral,2694053.0,51820.0,128328.0,701.0,pos
2020-07-02,79,0.005509592658476947,0.005506962621272482,0.008607512881535495,neutral,2750689.0,56636.0,129038.0,710.0,pos
2020-07-06,79,0.023744313553488938,0.01543726303379489,0.022378158835950845,negative,2941586.0,43106.0,130726.0,377.0,pos
2020-07-07,79,-0.03300623410347847,-0.010313796371464123,-0.012057160595783434,neutral,3002247.0,60661.0,131887.0,1161.0,neg
2020-07-08,79,-0.010147657638667207,0.007648651621585456,0.006759305702155993,negative,3062366.0,60119.0,132709.0,822.0,pos
2020-07-09,79,-0.020503198764222907,-0.005692921230517234,-0.025363682160441936,neutral,3124875.0,62509.0,133729.0,1020.0,neg
2020-07-10,79,0.03139865999233793,0.01021054585285941,0.028702641564799736,neutral,3192932.0,68057.0,134545.0,816.0,pos
2020-07-13,85,-0.0018450606533337854,-0.008658962913536516,-0.014322854670886231,neutral,3370303.0,58930.0,136194.0,448.0,neg
2020-07-14,85,-0.019408506845654205,0.012959017714715637,0.014530979782537035,neutral,3438354.0,68051.0,137122.0,928.0,pos
2020-07-15,85,0.0951932386016816,0.009187233639839087,0.042782796197308626,neutral,3506444.0,68090.0,138096.0,974.0,pos
2020-07-16,85,-0.031841642788560165,-0.0032934520381920906,-0.006600120184055425,neutral,3582310.0,75866.0,139051.0,955.0,neg
2020-07-17,85,-0.021333312988281228,0.0028990699554503063,0.008978272801755782,neutral,3654546.0,72236.0,139976.0,925.0,pos
2020-07-20,73,-0.03723885911796643,0.008081580547216305,-0.01672893129885522,neutral,3839645.0,62107.0,141883.0,563.0,pos
2020-07-21,73,0.02735848598269741,0.0021275358467678362,0.005429850444534701,neutral,3904106.0,64461.0,142968.0,1085.0,pos
2020-07-22,73,-0.0018365892684232277,0.005692057260856531,-0.00774077967743525,neutral,3974685.0,70579.0,144191.0,1223.0,pos
2020-07-23,73,-0.012879516540634572,-0.011931695745166393,0.001632803961028939,neutral,4043130.0,68445.0,145261.0,1070.0,neg
2020-07-24,73,-0.021435186584210397,-0.006440384652273368,-0.00978085354975522,neutral,4116449.0,73319.0,146367.0,1106.0,neg
2020-07-27,72,-0.017142886207217267,0.0072924342504456785,0.005121686544214965,neutral,4293001.0,56783.0,148957.0,1127.0,pos
2020-07-28,72,0.019379919462571227,-0.006342391514221224,-0.010555083221142847,neutral,4359413.0,66412.0,150289.0,1332.0,neg
