,Interest Score,HST,SPY,XTN,sentiment,total_cases,new_cases,total_deaths,new_deaths,S&P 500 Daily Movement
2020-12-07,86,-0.030670898015102033,-0.0020549134867724472,-0.005346851886408044,neutral,15109469.0,194409.0,287336.0,1609.0,neg
2020-12-08,86,-0.0019775697310688845,0.00292616191324524,0.0028945427379629685,neutral,15333921.0,224452.0,289959.0,2623.0,pos
2020-12-09,86,0.002642005346497056,-0.008968871609766116,0.0,neutral,15556569.0,222648.0,293136.0,3177.0,neg
2020-12-10,86,-0.0230566781576671,-0.0003270958571379712,0.004398016567194185,neutral,15787997.0,231428.0,296132.0,2996.0,neg
2020-12-11,86,-0.021577862202999287,-0.0011725879542904272,-0.010810083411788352,neutral,16028086.0,240089.0,299542.0,3410.0,neg
2020-12-14,83,-0.03308066770083262,-0.004477161303609645,-0.019643078585717788,neutral,16628168.0,194314.0,305299.0,1653.0,neg
2020-12-15,83,0.03421243799332507,0.01351942254777505,0.012699221978339503,neutral,16837160.0,208992.0,308414.0,3115.0,pos
2020-12-16,83,-0.006202629301738205,0.0015693527844120592,-0.0026472735251280577,neutral,17083804.0,246644.0,312084.0,3670.0,pos
2020-12-17,83,-0.009015264476637141,0.00559196242686677,0.00810284739058309,neutral,17323704.0,239900.0,315584.0,3500.0,pos
2020-12-18,83,-0.013995787949547478,-0.008220496558328017,-0.0031874077780066346,neutral,17575536.0,251832.0,318558.0,2974.0,neg
2020-12-21,87,-0.022711120749380864,-0.003575511540187981,-0.01167807540277066,neutral,18154356.0,198703.0,324858.0,1924.0,neg
2020-12-22,87,-0.01089328737966877,-0.0016854105960858456,-0.004219938638587162,neutral,18352463.0,198107.0,328263.0,3405.0,neg
2020-12-23,87,0.03083701026600294,0.0008986414840963519,0.009040816236351557,neutral,18582087.0,229624.0,331695.0,3432.0,pos
2020-12-24,87,0.011396000558891117,0.003890395427502691,-0.0005600016149579501,neutral,18776242.0,194155.0,334593.0,2898.0,pos
2020-12-28,87,0.025352155999091686,0.008590822297383172,0.0022412615699303196,neutral,19430535.0,174152.0,341363.0,2008.0,pos
