,Interest Score,HST,XTN,sentiment,Principal Component 1
2020-12-09,86,0.002642005346497056,0.0,neutral,6784647.676244573
2020-12-10,86,-0.0230566781576671,0.004398016567194185,neutral,7016141.781251148
2020-12-11,86,-0.021577862202999287,-0.010810083411788352,neutral,7256301.394781458
2020-12-14,83,-0.03308066770083262,-0.019643078585717788,neutral,7856123.644336152
2020-12-15,83,0.03421243799332507,0.012699221978339503,neutral,8065221.136459658
2020-12-16,83,-0.006202629301738205,-0.0026472735251280577,neutral,8312108.205874312
2020-12-17,83,-0.009015264476637141,0.00810284739058309,neutral,8551990.18040284
2020-12-18,83,-0.013995787949547478,-0.0031874077780066346,neutral,8803903.61647657
2020-12-21,87,-0.022711120749380864,-0.01167807540277066,neutral,9382432.073614921
2020-12-22,87,-0.01089328737966877,-0.004219938638587162,neutral,9580561.213723438
2020-12-23,87,0.03083701026600294,0.009040816236351557,neutral,9810391.043374576
2020-12-24,87,0.011396000558891117,-0.0005600016149579501,neutral,10004357.107723646
2020-12-28,87,0.025352155999091686,0.0022412615699303196,neutral,10658549.193824572
2020-12-29,87,-0.014423079127390603,-0.007127912152030902,neutral,10859139.38923721
2020-12-30,87,0.01742160232433343,0.00633441641952226,neutral,11093060.935693229
2020-12-31,87,0.0020547761772162776,-0.00167848819097971,neutral,11328693.383833615
2021-01-04,87,-0.03280932960737626,-0.025220722747471336,negative,12175640.212961115
2021-01-05,87,-0.014134262519924334,0.01638636473550603,negative,12411005.712011162
2021-01-06,87,0.05734768470774676,0.02955740339903512,neutral,12666788.481049903
2021-01-07,87,-0.00474574202198097,0.009477950317133388,negative,12945281.869953314
2021-01-08,87,0.0027247929851148545,-0.001632808826718679,negative,13240661.025039049
2021-01-11,90,-0.02377719939677514,-0.0035437116873023866,neutral,13929257.58518346
2021-01-12,90,0.01530969163401985,0.01860211460809369,neutral,14156334.626927782
2021-01-13,90,0.01096640477990185,-0.007654084671422812,negative,14386685.550238475
2021-01-14,90,0.01762713416148043,0.019756414808210554,negative,14622512.846986601
2021-01-15,90,-0.021319163465620683,-0.02016990791069806,neutral,14865360.727299793
2021-01-19,85,0.004765190639760997,0.004604604335695095,neutral,15564627.628715154
2021-01-20,85,0.012872600097357578,0.01860336003964247,negative,15747972.659042854
2021-01-21,85,-0.020735750494810246,-0.01363153537026196,negative,15941928.603938667
2021-01-22,85,-0.015027340291637992,-0.004025163387586406,neutral,16132703.698635258
2021-01-25,82,-0.036754488915883954,-0.004580411584386601,positive,16586158.760580705
2021-01-26,82,-0.02807777780295273,-0.009744230973751988,neutral,16733802.696682597
2021-01-27,82,0.007407435664424256,-0.031023598467572966,negative,16887840.65661813
2021-01-28,82,0.047794088257226086,0.009873017393189798,negative,17056769.955221467
2021-01-29,82,-0.04912279363264116,-0.024441341302996245,neutral,17223403.060282074
2021-02-01,76,0.006642077588266737,0.01603439901286441,neutral,17612854.521722406
2021-02-02,76,0.04032252369625411,0.01662674770860173,neutral,17728079.7105441
2021-02-03,76,0.0,0.0083159869914331,neutral,17849851.406476848
2021-02-04,76,-0.0042282922985655835,0.02694156817144555,neutral,17973911.343619447
2021-02-05,76,0.004953976946729055,0.003480151779100993,neutral,18108432.156469345
