,Interest Score,HST,SPY,XTN,sentiment,Principal Component 1,S&P 500 Daily Movement
2020-05-20,52,-0.0008658206681120273,0.016988017379665044,0.02500522426756646,neutral,-7212301.108684386,pos
2020-05-21,52,-0.009532032672518564,-0.006903943163488857,0.002255035118989168,neutral,-7186499.7208415065,neg
2020-05-22,52,-0.017497879055076493,0.0018990692801170717,0.005931702171154907,neutral,-7162847.625066601,pos
2020-05-26,47,0.08370441428089559,0.012320552737543622,0.04188697357682236,neutral,-7083334.798789262,pos
2020-05-27,47,0.028759275207524082,0.014879003633885723,0.034738460596985155,neutral,-7064770.463864112,pos
2020-05-28,47,-0.03913743665150027,-0.0018449496288533984,-0.018106357528936745,neutral,-7042414.803084113,neg
2020-05-29,47,-0.007481309608114328,0.004455906849114788,0.0026891929687935523,negative,-7017910.229706479,pos
2020-06-01,39,0.02596318513494844,0.004041733830006056,0.005747111737085309,negative,-6957894.713303261,pos
2020-06-02,39,0.002448957793566686,0.008280146883890893,0.012190464564732162,negative,-6936356.742772724,pos
2020-06-03,39,0.026872958540872016,0.01330825201965502,0.03199098198090322,negative,-6916496.629902512,pos
2020-06-04,39,0.035686024995343235,-0.002626713253435109,0.026622886221924214,negative,-6894815.659628389,neg
2020-06-05,39,0.07274117754530818,0.025629532893630236,0.026998232297720914,neutral,-6869380.624969777,pos
2020-06-08,42,0.05781580676012821,0.012087480157219055,0.021964726123603784,negative,-6812723.139259099,pos
2020-06-09,42,-0.024966254600416904,-0.007456694217466864,-0.0277542627418087,neutral,-6794324.2505942155,neg
2020-06-10,42,-0.08027680710890628,-0.0055800009265912776,-0.027154070540889585,negative,-6773186.73033071,neg
2020-06-11,42,-0.08427388177380557,-0.057648948741183426,-0.08409377016042618,neutral,-6749999.194644449,neg
2020-06-12,42,0.03861957798540416,0.011975670399988259,0.032037570782235125,neutral,-6725152.156896117,pos
2020-06-15,51,-0.0150316874127292,0.009335644514194108,0.013439315916421224,neutral,-6661187.354447174,pos
2020-06-16,51,0.028915712117814962,0.019247692222981838,0.014755339970459858,neutral,-6637488.650159326,pos
2020-06-17,51,-0.039032004966551015,-0.004153846588902832,-0.0011043874704366186,neutral,-6610389.107408203,neg
2020-06-18,51,-0.008935873810066663,0.00038501930237289095,0.001474074363048583,neutral,-6581836.868344434,pos
2020-06-19,51,-0.04344260174239423,-0.010071153195051807,-0.01858322630890441,neutral,-6550269.952939767,neg
2020-06-22,70,-0.03256213470065328,0.006415177471415401,-0.010873675091779056,neutral,-6460684.813727885,pos
2020-06-23,70,-0.004428714871904771,0.00460367232715253,0.011561801170539399,neutral,-6423577.5371361505,pos
2020-06-24,70,-0.02313169343205168,-0.025508706189596886,-0.04234585660040202,neutral,-6387700.059214301,neg
2020-06-25,70,-0.010928951781599139,0.010720542618582574,0.007630588632187463,neutral,-6347345.264021315,pos
2020-06-26,70,-0.011049713568388575,-0.023751482562483606,-0.02019419253451149,neutral,-6301309.674193589,neg
2020-06-29,79,0.02048419662171974,0.014697563211208076,0.03606816741667873,neutral,-6177972.174383949,pos
2020-06-30,79,-0.015510955812249039,0.012809544787298677,0.011094143928793931,neutral,-6131519.971904631,pos
2020-07-01,79,0.009267875979913631,0.007004811793744015,-0.010972414384367357,neutral,-6079664.635376796,pos
2020-07-02,79,0.005509592658476947,0.005506962621272482,0.008607512881535495,neutral,-6022997.2257571835,pos
2020-07-06,79,0.023744313553488938,0.01543726303379489,0.022378158835950845,negative,-5832178.997796065,pos
2020-07-07,79,-0.03300623410347847,-0.010313796371464123,-0.012057160595783434,neutral,-5771405.771884586,neg
2020-07-08,79,-0.010147657638667207,0.007648651621585456,0.006759305702155993,negative,-5711285.445844394,pos
2020-07-09,79,-0.020503198764222907,-0.005692921230517234,-0.025363682160441936,neutral,-5648755.250083764,neg
